"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
AU,AUSTRALIA,502550,22027753,2571580,106074189
BD,BANGLADESH,79200,5146802,102575,5937708
BE,BELGIUM,0,0,342000,13516391
KH,CAMBODIA,24750,1211810,24750,1211810
CN,CHINA,27992689,1348968412,116145976,5187732986
CO,COLOMBIA,250000,10212496,250000,10212496
DJ,DJIBOUTI,0,0,49500,1504905
EG,EGYPT,0,0,25,2050
GH,GHANA,0,0,99000,3134844
HK,HONG KONG,39600,2575755,81950,4560082
IN,INDIA,3312750,156084635,7155975,325553862
ID,INDONESIA,5849160,274504901,26446135,1061433650
IT,ITALY,0,0,100,2653
JP,JAPAN,6661350,290690000,22423675,915732979
KR,"KOREA,REPUBLIC OF",398900,24099253,1971275,105561632
MY,MALAYSIA,1017690,51101524,4506980,186318306
MU,MAURITIUS,0,0,57000,1975557
MM,MYANMAR,0,0,15000,506487
NZ,NEW ZEALAND,261090,13388657,1006330,46417621
PK,PAKISTAN,119550,5763716,231650,10358187
PE,PERU,100000,3832206,200000,7205811
PH,PHILIPPINES,1127500,50348722,3540750,136338916
PT,PORTUGAL,330500,12483962,578000,20281768
RE,REUNION,26250,1230715,28250,1290416
RU,RUSSIAN FEDERATION,0,0,24000,999842
SG,SINGAPORE,77000,4817993,1101100,56983808
LK,SRI LANKA,3750,220043,3750,220043
TW,"TAIWAN, PROVINCE OF CHINA",1162200,57330854,3428801,150383386
TR,TÃœRKIYE,0,0,504500,19244460
UA,UKRAINE,6000,294144,15500,644253
US,UNITED STATES,112000,7126618,299750,20927393
VN,VIETNAM,1242150,67676181,5719700,270197127
SUM,SUM,50696629,2411137152,198925577,8672465618
